title,company,location,remote_or_onsite,job_type,link,city
ECM Consultant,Pat N Sally Inc,"Latham, NY 12110",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=3624348e8d8fc537&bb=H11LQYboJEHclQRWNar7MmcZ6ubY_MnEclUKq325yVFqwiCyUaLDoF-yeRDhmPuh2nDCw-H1s705-eA9Hu1V_CfWzSIuQ5fjQP4DYiNyZt_s0FYv9mfn0vDOsWVdBjSo_o8jWt4qnGOy89hzUSilvg%3D%3D&xkcb=SoCC67M3vmx1B0AOkr2WbzkdCdPP&fccid=cf0bb54ab5694cc8&cmp=Pat-N-Sally-Inc&ti=Ecm+Consultant&vjs=3,Amsterdam
Senior Java Architect,Effervescent Consulting,"Hybrid work in Albany, NY 12207",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=3c65ef95d48e55f0&bb=Dcp5yyKCxlL0AeONg4abAQWJDP4iGisyfMKIxQIIr8x0OGyE60ejXSIy3l2l3WFomlQ9ZclKcA_j1ap2igtytflBcm81EfyHdHpS0Su8IYv-mOpntELIHYdfRWEqJKpd6844vR-aj7wtaEBl9EMWgQ%3D%3D&xkcb=SoBX67M3vmx0eLx7oh0LbzkdCdPP&fccid=e9a3daf7a65d8f02&cmp=EFFERVESCENT-CONSULTING-LLC&ti=Senior+Software+Architect&vjs=3,Amsterdam
Software Architect,GD Resources,"Hybrid work in Delmar, NY 12054",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=06d792365bbf0083&bb=Dcp5yyKCxlL0AeONg4abAXYM7hGdMGhcNFAvV4mDWHYv0uQVWFMujhoiQuSGSK7TIUGk-n5aNSesRoQ9vKwaBhLVEXTegJciDW3fmUjm-P54rNBSRewnyJEwUI4cl-vSzvfM0RuPcn3palGOAks8RA%3D%3D&xkcb=SoDj67M3vmx0eLx7oh0KbzkdCdPP&fccid=897f6f5b3d7ab7e0&vjs=3,Amsterdam
APEX Developer (Top Secret Clearance Required),"Contact Government Services, LLC","Hybrid work in Albany, NY",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=84342a6be503f093&bb=Dcp5yyKCxlL0AeONg4abAXf_2g9aVC0gPgpJGaoS2Oz88XdM5_Y3bvpdiJWDgD8glt5GvCYny2yVm-xjUv70vjlciycQBQnCvW2tJoDWx5pVVwBnEouITutb8En0J8mivqnbeptyupSvUK28ch9ePg%3D%3D&xkcb=SoB-67M3vmx0eLx7oh0JbzkdCdPP&fccid=d5cf2062d2701c6e&vjs=3,Amsterdam
Software Trainer and Implementation Consultant,Property Gauge Inc,"Latham, NY 12110",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=1a03b174538ed25c&bb=Dcp5yyKCxlL0AeONg4abAW62gVYAY98GcO1LKfzYOKzswBpgD8IRtYtnnjAFm1AM1LwXiF3h6WdfwLsb1wy_a7zKyRgdOA64rIOtsLAWJVlQ-rl0vHgZdxxy31Nwe_JApsar1P_nQ3annwqfpYDTaA%3D%3D&xkcb=SoDK67M3vmx0eLx7oh0IbzkdCdPP&fccid=cdcaf47102b021d4&vjs=3,Amsterdam
QA Engineer / DevOps Specialist,Ariel Partners,"Remote in Albany, NY",Remote,Full-time,https://www.indeed.com/rc/clk?jk=d6fdc31fc6488c20&bb=Dcp5yyKCxlL0AeONg4abAfwZ77eE8APHWkYJcVp2ClV6yEy9eJ_UVtN-tW34oLPYDy-EfatGS9432ZMVXkDmUlFoTJgGw8SetHduTsp220a25x5wZp2OSZm1Sq8hNKSIpTrXQNo3G8jZgwpVmoAFTQ%3D%3D&xkcb=SoBE67M3vmx0eLx7oh0PbzkdCdPP&fccid=cadb210fb96ddf16&vjs=3,Amsterdam
Front-End Engineer / UX Developer,Ariel Partners,"Remote in Albany, NY",Remote,Full-time,https://www.indeed.com/rc/clk?jk=9f445634cd1aff69&bb=Dcp5yyKCxlL0AeONg4abATCPOnrK3sWBJTrxSv6NUQW1SgA5a8ixjmw1YaG_HTwNeUUZq-m4Sa5qTLG2cfvl4UPz9xfr_8BRM9I9HoS5nKpPpeLt_sp60yKQXmuseIAJYGBXwQrRI-rpYDuaTBRVFg%3D%3D&xkcb=SoDw67M3vmx0eLx7oh0ObzkdCdPP&fccid=cadb210fb96ddf16&vjs=3,Amsterdam
Technical Lead / Back-End Engineer,Ariel Partners,"Remote in Albany, NY",Remote,Full-time,https://www.indeed.com/rc/clk?jk=f4a3d3e7f01b9090&bb=Dcp5yyKCxlL0AeONg4abAW62gVYAY98GCz6hCnNHXRRrDgEXG3AjozujG5tWY1XfMFuWG4PyVFXzufnv6ov6QNu36n-1XPK6MmMBdS2_ClI7i27B8N58GSoEc38VIsTCLhmD6AzHiecRtwNnlGwkug%3D%3D&xkcb=SoBt67M3vmx0eLx7oh0NbzkdCdPP&fccid=cadb210fb96ddf16&vjs=3,Amsterdam
IT Specialist,"Weather Routing, Inc","Glens Falls, NY 12801",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=3830e4567c79207c&bb=Dcp5yyKCxlL0AeONg4abATCPOnrK3sWBP41hJgTFy8SjFfad-pFdRtBhnR5CDKfs7KvEL2-YDcz4swfJDMO5nlddYVo-6Mp0iFpkAwbUZjGTXQEne_aQtzFLANodNl3BgOl5QKCNDPvqRhpy5LXxVw%3D%3D&xkcb=SoDZ67M3vmx0eLx7oh0MbzkdCdPP&fccid=b215279cf79aa10b&cmp=Weather-Routing%2C-Inc&ti=IT+Technician&vjs=3,Amsterdam
Senior IT Specialist,"Weather Routing, Inc","Glens Falls, NY 12801",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=13fca094fdf6e82f&bb=Dcp5yyKCxlL0AeONg4abAaPzsHhYj3Gdyylz2fVR4w41b0kbozTsExX-Co0f2HYaBi1tVoa26GRFX3gpQsa85OfM2q-tvfOgzFwU4u_xONUuFwiAa75xZOTegJUMKlrMtFDzS-by05QKe-ki8JFriQ%3D%3D&xkcb=SoAw67M3vmx0eLx7oh0DbzkdCdPP&fccid=b215279cf79aa10b&cmp=Weather-Routing%2C-Inc&ti=Senior+IT+Specialist&vjs=3,Amsterdam
